               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.033739,            0.017012,            0.010949,             0.88304,             0.81064,             0.83167,             0.66486,            0.024526,           0.0041904,           0.0088555,           0.0073517,           0.0073517,           0.0073517
                 109,            0.033025,            0.017445,            0.012278,             0.85528,             0.77155,             0.82664,             0.65882,            0.026302,           0.0047249,            0.011103,            0.007327,            0.007327,            0.007327
                 110,            0.031991,            0.016833,           0.0097421,             0.82103,             0.80031,             0.85437,             0.66595,            0.023768,           0.0046082,            0.010834,           0.0073023,           0.0073023,           0.0073023
                 111,            0.030178,            0.015995,            0.011311,             0.79669,             0.79361,               0.819,             0.61808,            0.025733,           0.0045782,            0.017765,           0.0072775,           0.0072775,           0.0072775
                 112,            0.030616,            0.016207,           0.0096405,             0.71971,             0.65885,             0.77227,             0.45971,            0.028762,           0.0059351,             0.01253,           0.0072527,           0.0072527,           0.0072527
                 113,            0.030534,            0.015423,             0.01014,             0.86701,             0.74569,             0.86869,             0.67669,            0.024497,           0.0045348,           0.0077851,            0.007228,            0.007228,            0.007228
                 114,            0.031407,             0.01611,            0.010392,             0.89767,             0.69584,             0.81363,             0.62098,            0.027223,            0.004727,            0.014548,           0.0072033,           0.0072033,           0.0072033
                 115,            0.030056,            0.015606,             0.01124,             0.85063,             0.69689,             0.84106,             0.65725,            0.025648,           0.0048084,           0.0099288,           0.0071785,           0.0071785,           0.0071785
                 116,            0.031585,            0.017322,           0.0099351,             0.88071,             0.70891,             0.84118,              0.6843,            0.026281,           0.0046851,            0.010628,           0.0071538,           0.0071538,           0.0071538
                 117,            0.030845,            0.017197,            0.009695,             0.83396,             0.80276,             0.85412,             0.69374,            0.025066,           0.0048012,            0.010932,            0.007129,            0.007129,            0.007129
                 118,            0.029768,            0.016004,            0.010148,             0.85951,             0.73226,             0.83861,             0.67481,            0.024864,           0.0048808,            0.012817,           0.0071042,           0.0071042,           0.0071042
                 119,            0.030074,            0.015813,            0.010853,             0.78358,             0.77581,             0.84216,             0.66946,            0.025305,            0.004463,           0.0091918,           0.0070795,           0.0070795,           0.0070795
                 120,             0.03124,            0.016166,            0.012519,             0.83263,             0.75475,             0.85642,             0.68462,            0.024751,           0.0046106,           0.0083501,           0.0070547,           0.0070547,           0.0070547
                 121,             0.03071,            0.016233,            0.012128,             0.76231,             0.77915,             0.83991,             0.63424,             0.02599,           0.0048187,            0.018382,             0.00703,             0.00703,             0.00703
                 122,            0.031395,            0.016669,           0.0093693,              0.8679,             0.76784,               0.866,             0.65578,            0.024133,           0.0047028,            0.017764,           0.0070053,           0.0070053,           0.0070053
                 123,            0.030472,            0.016777,            0.010292,             0.89267,              0.7124,               0.854,             0.66941,            0.024971,           0.0047886,             0.01185,           0.0069805,           0.0069805,           0.0069805
                 124,            0.030052,            0.016729,           0.0097625,             0.86272,             0.75992,             0.87161,             0.68246,            0.023572,           0.0046544,            0.011877,           0.0069558,           0.0069558,           0.0069558
                 125,            0.029774,            0.016005,            0.010141,             0.78425,             0.73054,             0.83025,             0.65499,            0.023528,           0.0046976,            0.019182,            0.006931,            0.006931,            0.006931
                 126,            0.031283,            0.016014,            0.011486,              0.8812,             0.81367,             0.89275,              0.7172,            0.023334,           0.0044286,             0.01028,           0.0069063,           0.0069063,           0.0069063
                 127,            0.031491,            0.016126,            0.010098,             0.80171,              0.7959,             0.84692,             0.65931,            0.023872,           0.0047237,           0.0094438,           0.0068815,           0.0068815,           0.0068815
                 128,            0.030657,            0.015326,            0.011488,              0.8392,             0.77919,             0.83231,             0.67753,            0.023765,            0.004672,             0.01004,           0.0068568,           0.0068568,           0.0068568
                 129,            0.031272,            0.016436,           0.0095225,             0.83554,             0.82951,             0.83411,             0.67648,            0.024112,           0.0044325,           0.0069314,            0.006832,            0.006832,            0.006832
                 130,            0.031392,             0.01681,           0.0093629,             0.54924,             0.62684,             0.68812,             0.41182,            0.034367,           0.0062519,            0.019756,           0.0068073,           0.0068073,           0.0068073
                 131,            0.030464,            0.016439,            0.011193,             0.84449,             0.80774,             0.86233,             0.71022,             0.02472,           0.0043626,            0.010039,           0.0067825,           0.0067825,           0.0067825
                 132,            0.030577,            0.016251,            0.010301,             0.82205,             0.76519,             0.85303,              0.7108,            0.024034,           0.0044959,            0.010211,           0.0067577,           0.0067577,           0.0067577
                 133,            0.028793,            0.015954,            0.010151,             0.87083,             0.78417,             0.85718,             0.70544,            0.026155,           0.0044167,           0.0095662,            0.006733,            0.006733,            0.006733
                 134,            0.030259,            0.016098,           0.0086651,              0.9105,             0.75783,             0.85426,             0.70331,            0.025218,           0.0044505,           0.0094194,           0.0067082,           0.0067082,           0.0067082
                 135,            0.031064,             0.01544,            0.008474,             0.85531,             0.83583,             0.86731,             0.72597,            0.024018,           0.0045283,           0.0072517,           0.0066835,           0.0066835,           0.0066835
                 136,            0.029001,            0.015954,            0.010241,             0.67676,             0.81621,             0.83022,             0.66039,             0.02555,           0.0047629,            0.010963,           0.0066587,           0.0066587,           0.0066587
                 137,            0.027778,             0.01555,           0.0099323,             0.73226,             0.82151,              0.8593,             0.68722,             0.02503,            0.004589,            0.010362,            0.006634,            0.006634,            0.006634
                 138,            0.027896,            0.016511,           0.0093987,             0.87341,             0.80017,              0.8607,             0.66301,            0.025703,           0.0048792,             0.01348,           0.0066092,           0.0066092,           0.0066092
                 139,            0.030967,            0.016101,           0.0093688,             0.83651,             0.74552,             0.84531,             0.69733,            0.022757,           0.0044022,            0.011614,           0.0065845,           0.0065845,           0.0065845
                 140,            0.028232,            0.015501,           0.0098744,             0.80047,             0.77286,             0.86065,             0.71546,             0.02315,           0.0041906,           0.0074598,           0.0065598,           0.0065598,           0.0065598
                 141,            0.030385,            0.015278,           0.0097285,              0.8059,             0.83719,             0.87222,             0.71671,             0.02259,           0.0041753,           0.0097517,            0.006535,            0.006535,            0.006535
                 142,            0.029406,            0.015573,           0.0098961,             0.82747,             0.90803,             0.92111,              0.7505,            0.022946,           0.0042142,           0.0054968,           0.0065102,           0.0065102,           0.0065102
                 143,            0.029327,            0.016088,           0.0098484,             0.81282,             0.74555,             0.81513,             0.64599,             0.02494,           0.0049244,           0.0079444,           0.0064855,           0.0064855,           0.0064855
                 144,            0.029027,            0.015774,           0.0091291,             0.77932,             0.79395,             0.84997,             0.60898,             0.02668,           0.0049567,            0.011876,           0.0064608,           0.0064608,           0.0064608
                 145,            0.029619,             0.01522,           0.0089337,             0.78487,             0.73127,             0.81521,             0.63743,             0.02591,           0.0047999,            0.015453,            0.006436,            0.006436,            0.006436
                 146,            0.028715,            0.015517,            0.008931,              0.8411,             0.84378,              0.8802,             0.70911,             0.02327,           0.0043901,           0.0094644,           0.0064112,           0.0064112,           0.0064112
                 147,            0.029221,            0.015564,           0.0080074,             0.87485,             0.66488,             0.84745,             0.62406,            0.025027,           0.0046901,             0.01683,           0.0063865,           0.0063865,           0.0063865
